,UHF42,Natural Gas Use (kBtu),Total GHG Emissions (Metric Tons CO2e),number of restaurants,parks superficy,poverty,traffic volume,Borough,PM2.5 Attributable Deaths,O3 Attributable Deaths,O3 Particles Concentration,PM2.5 Particles Concentration,O3 Asthma Emergency Department Visits,O3 Attributable Hospitalizations,PM2.5 Asthma Emergency Department Visits,PM2.5 Attributable Hospitalizations
23,306.0,6342221.479520958,9451.88349328215,19047,79.50116666666668,11.9,166.16310572560127,Manhattan,31.7,3.4,26.100000000000005,10.540000000000001,47.6,5.25,37.0,9.3
24,307.0,4515324.6814814815,16939.802725118483,10420,26.38342857142857,7.9,192.63938001642376,Manhattan,35.7,3.6,24.896666666666665,10.936666666666667,39.05,5.0,30.5,9.45
25,308.0,7920587.5425992785,9235.226198083068,11223,28.24,9.4,139.3568590227747,Manhattan,25.5,2.9,27.536666666666665,9.713333333333333,13.3,1.05,10.35,6.5
26,309.0,6667049.825333334,9988.38844765343,11314,124.493,22.0,109.92874682343532,Manhattan,45.1,4.5,27.816666666666666,9.2,82.80000000000001,9.15,66.9,13.149999999999999
27,310.0,7273131.310447762,30769.152582159622,4864,57.73833333333333,9.6,81.23235729124828,Manhattan,27.3,2.7,27.123333333333335,9.693333333333333,38.15,4.0,27.299999999999997,8.75
28,401.0,4235249.235315985,573.1343859649122,8729,233.0281403971429,11.0,72.77750905510986,Queens,31.4,4.3,31.233333333333334,8.950000000000001,43.75,4.35,33.95,12.0
29,402.0,6915217.1,1301.9709745762714,11183,520.2259285714285,12.5,85.53949299932704,Queens,27.1,3.5,31.376666666666665,8.413333333333334,50.7,5.65,37.45,10.649999999999999
30,403.0,6987743.719014085,824.7881967213115,8401,1050.55,14.1,89.31262317571871,Queens,36.1,5.8,31.86,7.646666666666666,25.8,4.95,18.65,11.5
31,404.0,10205445.461224489,913.1407407407409,2131,877.9025333333334,7.8,128.15772466387108,Queens,29.7,5.3,31.51,7.390000000000001,13.0,2.8000000000000003,8.55,9.95
32,405.0,7895147.736477987,706.0399425287357,5046,501.5898095238096,9.1,90.3964414115107,Queens,34.7,5.3,31.78333333333333,7.796666666666667,30.849999999999998,5.95,22.5,12.25
33,406.0,15554566.832258064,1218.7485714285713,1360,604.0976428571429,11.5,70.98227330008635,Queens,30.7,5.1,31.586666666666662,7.423333333333333,37.65,8.15,24.450000000000003,10.1
34,407.0,6563158.284210526,1190.442718446602,5091,483.6471333333333,10.4,88.0955211638424,Queens,27.6,3.8,32.696666666666665,7.336666666666667,44.75,7.050000000000001,30.8,13.75
35,408.0,13609876.42722513,2858.310784313725,5128,533.82965643,12.0,82.4219727489676,Queens,31.7,5.1,32.27666666666667,7.423333333333333,77.35,11.15,49.65,14.95
36,409.0,2404336088.9347825,130837.13191489362,2374,783.3010333333333,6.2,144.78823466718254,Queens,26.3,4.1,32.843333333333334,7.053333333333334,44.5,9.55,28.7,12.75
37,410.0,11988871.409090908,946.4833333333332,877,1719.4452324666668,18.0,59.07567696628344,Queens,50.2,7.7,36.93666666666667,6.486666666666667,73.9,7.9,47.0,18.95
38,501.0,10731349.0,1138.141176470588,1405,530.98,17.0,57.77811413864647,Staten Island,41.9,5.2,30.136666666666667,7.61,91.25,16.2,56.25,17.65
39,502.0,7225621.721538462,782.2643835616439,2040,1202.0585425633333,13.1,72.02809413684446,Staten Island,50.0,8.4,31.616666666666664,7.140000000000001,66.25,10.35,40.75,18.35
40,503.0,6650212.178260869,1181.2892857142856,1535,2070.784843146667,9.3,88.54142877183833,Staten Island,48.4,7.7,31.430000000000003,7.386666666666667,25.9,4.1,15.850000000000001,15.45
41,504.0,9909967.476470588,1053.0166666666669,2618,3871.01675,6.7,67.43830413605612,Staten Island,45.9,7.7,33.06333333333334,6.82,16.6,3.4,11.45,14.25
